# form	corpus count	lowercase share
españa	13674	0.0074
méxico	12283	0.0006
unidos	10785	0.0301
madrid	8756	0.0125
europa	6954	0.0092
pp	6474	0.0091
josé	6391	0.0002
san	6212	0.0088
barcelona	5112	0.0132
juan	5042	0.0031
luis	4459	0.0010
francia	4340	0.0043
obama	4256	0.0040
carlos	4253	0.0026
gadafi	4218	0.0030
alemania	4218	0.0039
japón	3937	0.0046
psoe	3839	0.0122
york	3809	0.0008
américa	3598	0.0034
colombia	3395	0.0044
brasil	3385	0.0046
rusia	3377	0.0017
maría	3164	0.0031
google	3109	0.0690
lópez	2947	0.0008
efe	2927	0.0021
londres	2851	0.0004
facebook	2754	0.0727
garcía	2732	0.0008
manuel	2728	0.0020
gonzález	2720	0.0004
panamá	2641	0.0018
italia	2617	0.0034
onu	2547	0.0020
valencia	2492	0.0095
twitter	2476	0.0783
grecia	2438	0.0018
ue	2376	0.0083
francisco	2362	0.0047
rajoy	2351	0.0067
apple	2314	0.0349
rodríguez	2306	0.0005
chile	2292	0.0304
israel	2289	0.0035
pérez	2270	0.0010
miguel	2265	0.0060
calderón	2244	0.0020
washington	2226	0.0000
bbc	2197	0.0201
león	2197	0.0424
david	2194	0.0043
egipto	2148	0.0037
venezuela	2127	0.0061
chávez	2102	0.0012
eeuu	2089	0.0042
antonio	2086	0.0014
otan	2074	0.0043
javier	1994	0.0030
andalucía	1930	0.0082
sánchez	1923	0.0006
jorge	1915	0.0061
eta	1905	0.0117
zapatero	1870	0.0145
parís	1861	0.0005
mubarak	1855	0.0012
santa	1855	0.0514
pablo	1848	0.0096
fernando	1816	0.0025
fernández	1815	0.0000
cuba	1768	0.0147
santos	1751	0.0560
hernández	1678	0.0007
sevilla	1663	0.0105
felipe	1615	0.0049
messi	1610	0.0202
pedro	1605	0.0092
rubalcaba	1575	0.0072
diego	1544	0.0109
jesús	1528	0.0007
málaga	1524	0.0072
gómez	1517	0.0029
california	1507	0.0033
trípoli	1499	0.0020
unidas	1498	0.0660
pri	1459	0.0013
perú	1457	0.0007
barça	1447	0.0123
moscú	1415	0.0000
berlusconi	1408	0.0026
murcia	1387	0.0100
john	1364	0.0033
zaragoza	1349	0.0038
fmi	1334	0.0000
martínez	1328	0.0022
press	1324	0.0068
senado	1320	0.0356
moreno	1316	0.0239
santiago	1310	0.0037
afganistán	1291	0.0016
michael	1250	0.0028
ap	1234	0.0007
alejandro	1188	0.0050
portugal	1186	0.0050
bilbao	1182	0.0009
merkel	1178	0.0010
laden	1177	0.0101
enrique	1174	0.0050
bruselas	1168	0.0000
mario	1164	0.0080
ii	1161	0.0034
nadal	1160	0.0045
generalitat	1158	0.0009
alonso	1157	0.0042
rafael	1155	0.0010
corea	1155	0.0124
inglaterra	1152	0.0078
canadá	1148	0.0009
android	1147	0.0705
roma	1146	0.0080
túnez	1140	0.0000
daniel	1138	0.0052
sarkozy	1128	0.0010
ángeles	1125	0.0657
áfrica	1121	0.0054
aragón	1120	0.0072
pib	1113	0.0036
tokio	1108	0.0000
salvador	1087	0.0625
monterrey	1079	0.0027
alberto	1075	0.0028
berlín	1075	0.0010
sergio	1047	0.0131
ricardo	1046	0.0098
uu	1041	0.0009
ecuador	1032	0.0653
córdoba	1028	0.0020
uruguay	1028	0.0066
ee	1018	0.0017
castro	1016	0.0185
cataluña	1006	0.0129
reuters	1005	0.0020
irak	996	0.0042
australia	994	0.0000
eu	993	0.0187
aguirre	990	0.0012
ramírez	989	0.0011
díaz	984	0.0011
raúl	981	0.0000
juárez	979	0.0000
guadalajara	972	0.0021
miami	968	0.0000
prd	966	0.0000
sony	950	0.0383
turquía	946	0.0000
ana	937	0.0064
texas	934	0.0000
